disease_common_name,disease_sci_name,crop_genus,crop_specie
Phosphorus Deficiency,Phosphorus Deficiency,Musa,paradisiaca  
Potassium Deficiency,Potassium Deficiency,Musa,paradisiaca  
Powdery Mildew,Erysiphaceae,Musa,paradisiaca  
Pseudostem Weevil,Odoiporus longicollis,Musa,paradisiaca  
Red Palm Mite,Raoiella indica,Musa,paradisiaca  
Root Borer,Cosmopolites sordidus,Musa,paradisiaca  
Vascular Wilt of Banana,Fusarium oxysporum,Musa,paradisiaca  
Vole,Cricetidae,Musa,paradisiaca  
Water Deficiency,Water Deficiency,Musa,paradisiaca  
Yellow Sigatoka,Mycosphaerella musicola,Musa,paradisiaca  
Zinc Deficiency,Zinc Deficiency,Musa,paradisiaca  
Aphid,Aphidoidea family,Olea,europaea  
Black Scale,Saissetia oleae,Olea,europaea  
Boron Deficiency,Boron Deficiency,Olea,europaea  
Botryosphaeria Dieback,Botryosphaeriaceae,Olea,europaea  
Cercospora Leaf Spot of Olive,Pseudocercospora cladosporioides,Olea,europaea  
Crown Gall,Agrobacterium,Olea,europaea  
Curculio Weevil,Otiorhynchus cribricollis,Olea,europaea  
Dead Arm,Eutypa lata,Olea,europaea  
Grape Berry Moth,Lobesia botrana,Olea,europaea  
Jasmine Moth,Palpita unionalis,Olea,europaea  
Magnesium Deficiency,Magnesium Deficiency,Olea,europaea  
Manganese Deficiency,Manganese Deficiency,Olea,europaea  
Mediterranean Fruit Fly,Ceratitis capitata,Olea,europaea  
Nitrogen Deficiency,Nitrogen Deficiency,Olea,europaea  
Oleander Scale,Aspidiotus nerii,Olea,europaea  
Olive Bark Beetle,Phloeotribus scarabaeoides,Olea,europaea  
Olive Borer,Hylesinus toranio,Olea,europaea  
Olive Bud Mite,Oxycenus maxwelli,Olea,europaea  
Olive Fruit Fly,Bactrocera oleae,Olea,europaea  
Olive Knot,Pseudomonas savastanoi pv. savastanoi,Olea,europaea  
Olive Leaf Spot,Fusicladium oleagineum,Olea,europaea  
Olive Moth,Prays oleae,Olea,europaea  
Olive Psyllid,Euphyllura olivina,Olea,europaea  
Olive Scale,Parlatoria oleae,Olea,europaea  
Pesticide Burn,Pesticide Burn,Olea,europaea  
Phosphorus Deficiency,Phosphorus Deficiency,Olea,europaea  
Potassium Deficiency,Potassium Deficiency,Olea,europaea  
Rhizoctonia Root Rot of Olive,Rhizoctonia solani,Olea,europaea  
Thrips,Order Thysanoptera,Olea,europaea  
Verticillium Wilt,Verticillium spp.,Olea,europaea  
Water Deficiency,Water Deficiency,Olea,europaea  
Zinc Deficiency,Zinc Deficiency,Olea,europaea  
African Mole Cricket,Gryllotalpa africana,Oryza,sativa  
Alkalinity,Alkalinity,Oryza,sativa  
Aphid,Aphidoidea family,Oryza,sativa  
Asian Rice Gall Midge,Orseolia oryzae,Oryza,sativa  
Bacterial Blight of Rice,Xanthomonas oryzae pv. oryzae,Oryza,sativa  
Bacterial Leaf Streak,Xanthomonas oryzae pv. oryzicola,Oryza,sativa  
Bacterial Panicle Blight,Burkholderia spp.,Oryza,sativa  
Bakanae and Foot Rot,Gibberella fujikuroi,Oryza,sativa  
Biomphalaria Snails,Biomphalaria spp.,Oryza,sativa  
Black Cutworm,Agrotis ipsilon,Oryza,sativa  
Blast of Rice,Magnaporthe oryzae,Oryza,sativa  
Boron Deficiency in Rice,Boron Deficiency,Oryza,sativa  
Brown Planthopper,Nilaparvata lugens,Oryza,sativa  
Brown Spot of Rice,Cochliobolus miyabeanus,Oryza,sativa  
Fall Armyworm,Spodoptera frugiperda,Oryza,sativa  
False Smut,Villosiclava virens,Oryza,sativa  
Golden Apple Snail,Pomacea canaliculata,Oryza,sativa  
Green Paddy Leafhoppers,Nephotettix spp.,Oryza,sativa  
Greenhorned Caterpillars,Melanitis leda,Oryza,sativa  
Iron deficiency in Rice,Iron Deficiency,Oryza,sativa  
Leaf Scald of Rice,Monographella albescens,Oryza,sativa  
Magnesium Deficiency,Magnesium Deficiency,Oryza,sativa  
Manganese Deficiency,Manganese Deficiency,Oryza,sativa  
Narrow Brown Leaf Spot of Rice,Sphaerulina oryzina,Oryza,sativa  
Nitrogen Deficiency in Rice,Nitrogen Deficiency,Oryza,sativa  
Paddy Swarming Caterpillar,Spodoptera mauritia,Oryza,sativa  
Pesticide Burn,Pesticide Burn,Oryza,sativa  
Phoma Sorghina in Rice,Epicoccum sorghi,Oryza,sativa  
Phosphorus Deficiency in Rice,Phosphorus Deficiency,Oryza,sativa  
Potassium Deficiency in Rice,Potassium Deficiency,Oryza,sativa  
Red Stripe Disease,Gonatophragmium sp.,Oryza,sativa  
Rice Bug,Leptocorisa spp.,Oryza,sativa  
Rice Case Worm,Parapoynx stagnalis,Oryza,sativa  
Rice Ear-Cutting Caterpillar,Mythimna separata,Oryza,sativa  
Rice Grasshopper,Oxya intricata,Oryza,sativa  
Rice Hispa,Dicladispa armigera,Oryza,sativa  
Rice Leaf Mite,Oligonychus oryzae,Oryza,sativa  
Rice Leafroller,Cnaphalocrocis medinalis,Oryza,sativa  
Rice Mealybug,Brevennia rehi,Oryza,sativa  
Rice Panicle Mite,Steneotarsonemus spinki,Oryza,sativa  
Rice Sheath Blight,Rhizoctonia solani,Oryza,sativa  
Rice Skipper,Pelopidas mathias,Oryza,sativa  
Rice Stalk Stinkbug,Tibraca limbativentris,Oryza,sativa  
Rice Thrips,Stenchaetothrips biformis,Oryza,sativa  
Rice Yellow Mottle Virus,RYMV,Oryza,sativa  
Root-Knot Nematode,Meloidogyne spp.,Oryza,sativa  
Sheath Rot of Rice,Sarocladium oryzae,Oryza,sativa  
Stem Rot of RIce,Magnaporthe salvinii,Oryza,sativa  
Sulfur Deficiency,Sulfur Deficiency,Oryza,sativa  
Tungro,RTBV,Oryza,sativa  
Udbatta Disease of Rice,Balansia oryzae-sativae,Oryza,sativa  
Vole,Cricetidae,Oryza,sativa  
Water Deficiency,Water Deficiency,Oryza,sativa  
Whorl Maggot,Hydrellia philippina,Oryza,sativa  
Yellow Stem Borer,Scirpophaga incertulas,Oryza,sativa  
Zinc Deficency in Rice,Zinc Deficiency,Oryza,sativa  
African Mole Cricket,Gryllotalpa africana,Pennisetum,americanum  
Aphid,Aphidoidea family,Pennisetum,americanum  
Boron Deficiency in Cereals,Boron Deficiency,Pennisetum,americanum  
Calcium Deficiency in Wheat,Calcium Deficiency,Pennisetum,americanum  
Ergot,Claviceps fusiformis,Pennisetum,americanum  
Fusarium Head Blight,Fusarium graminearum,Pennisetum,americanum  
Head Miner,Heliocheilus albipunctella,Pennisetum,americanum  
Holcus Spot,Pseudomonas syringae pv. syringae,Pennisetum,americanum  
Magnesium Deficiency,Magnesium Deficiency,Pennisetum,americanum  
Manganese Deficiency,Manganese Deficiency,Pennisetum,americanum  
Millet Cercospora Leaf Spot,Cercospora penniseti,Pennisetum,americanum  
Millet Rust,Puccinia substriata,Pennisetum,americanum  
Pesticide Burn,Pesticide Burn,Pennisetum,americanum  
Phosphorus Deficiency,Phosphorus Deficiency,Pennisetum,americanum  
Potassium Deficiency in Cereals,Potassium Deficiency,Pennisetum,americanum  
Pyricularia Leaf Spot,Magnaporthe oryzae,Pennisetum,americanum  
Spotted Stemborer,Chilo partellus,Pennisetum,americanum  
Stem Borer,Coniesta ignefusalis,Pennisetum,americanum  
"Stink Bugs on Corn, Millet and Sorghum",Euschistus spp.,Pennisetum,americanum  
Violet Stem Borer,Sesamia inferens,Pennisetum,americanum  
Vole,Cricetidae,Pennisetum,americanum  
Water Deficiency,Water Deficiency,Pennisetum,americanum  
Zinc Deficiency,Zinc Deficiency,Pennisetum,americanum  
Zonate Leaf Spot,Gloeocercospora sorghi,Pennisetum,americanum  
Aphid,Aphidoidea family,Phaseolus,vulgaris  
Ashy Stem Blight of Bean,Macrophomina phaseolina,Phaseolus,vulgaris  
Bean Bollworm,Helicoverpa armigera,Phaseolus,vulgaris  
Bean Common Mosaic Virus,BCMV,Phaseolus,vulgaris  
Bean Golden Mosaic Virus,BGMV,Phaseolus,vulgaris  
Bean Leaf Beetle,Cerotoma trifurcata,Phaseolus,vulgaris  
Bean Leaf Webber,Hedylepta indicata,Phaseolus,vulgaris  
Bean Leafroller,Urbanus proteus,Phaseolus,vulgaris  
Bean Rust,Uromyces appendiculatus,Phaseolus,vulgaris  
Bean Shoot Borer,Epinotia aporema,Phaseolus,vulgaris  
Bean Yellow Mosaic Virus,BYMV,Phaseolus,vulgaris  
Black Cutworm,Agrotis ipsilon,Phaseolus,vulgaris  
Black Spot Disease,Colletotrichum lindemuthianum,Phaseolus,vulgaris  
Boron Deficiency,Boron Deficiency,Phaseolus,vulgaris  
Botrytis Blight,Botrytis cinerea,Phaseolus,vulgaris  
Broad Mite,Polyphagotarsonemus latus,Phaseolus,vulgaris  
Cabbage Moth,Mamestra brassicae,Phaseolus,vulgaris  
Calcium Deficiency,Calcium Deficiency,Phaseolus,vulgaris  
Cercospora Leaf Spot of Gram,Cercospora canescens,Phaseolus,vulgaris  
Chocolate Spot of Broad Bean,Botrytis fabae,Phaseolus,vulgaris  
Common Red Spider Mite,Tetranychus urticae,Phaseolus,vulgaris  
Cucumber Beetle,Diabrotica spp.,Phaseolus,vulgaris  
Downy Mildew,Peronosporales,Phaseolus,vulgaris  
Dry Root Rot of Bean,Fusarium solani f. sp. phaseoli,Phaseolus,vulgaris  
Fall Armyworm,Spodoptera frugiperda,Phaseolus,vulgaris  
Flea Beetle,Psylliodes,Phaseolus,vulgaris  
Fusarium Wilt,Fusarium oxysporum,Phaseolus,vulgaris  
Green Leafhopper,Empoasca decipiens,Phaseolus,vulgaris  
Halo Blight,Pseudomonas savastanoi pv. phaseolicola,Phaseolus,vulgaris  
Iron Deficiency,Iron Deficiency,Phaseolus,vulgaris  
Leaf Miner Flies,Agromyzidae spp.,Phaseolus,vulgaris  
Lesion Nematode,Pratylenchus spp.,Phaseolus,vulgaris  
Magnesium Deficiency,Magnesium Deficiency,Phaseolus,vulgaris  
Manganese Deficiency,Manganese Deficiency,Phaseolus,vulgaris  
Onion Maggots,Delia platura,Phaseolus,vulgaris  
Pesticide Burn,Pesticide Burn,Phaseolus,vulgaris  
Phosphorus Deficiency,Phosphorus Deficiency,Phaseolus,vulgaris  
Potassium Deficiency,Potassium Deficiency,Phaseolus,vulgaris  
Powdery Mildew,Erysiphaceae,Phaseolus,vulgaris  
Root-Knot Nematode,Meloidogyne spp.,Phaseolus,vulgaris  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Phaseolus,vulgaris  
Sclerotium Rot,Athelia rolfsii,Phaseolus,vulgaris  
Silverleaf Whitefly,Bemisia tabaci,Phaseolus,vulgaris  
Slug,Class Gastropoda,Phaseolus,vulgaris  
Soybean Stalk Weevil,Sternechus subsignatus,Phaseolus,vulgaris  
Thrips,Order Thysanoptera,Phaseolus,vulgaris  
Velvetbean Caterpillar,Anticarsia gemmatalis,Phaseolus,vulgaris  
Verticillium Wilt,Verticillium spp.,Phaseolus,vulgaris  
Vole,Cricetidae,Phaseolus,vulgaris  
Water Deficiency,Water Deficiency,Phaseolus,vulgaris  
Zinc Deficiency,Zinc Deficiency,Phaseolus,vulgaris  
Aphid,Aphidoidea family,Pisum,sativum  
Bean Leaf Beetle,Cerotoma trifurcata,Pisum,sativum  
Bean Leaf Webber,Hedylepta indicata,Pisum,sativum  
Bean Shoot Borer,Epinotia aporema,Pisum,sativum  
Boron Deficiency,Boron Deficiency,Pisum,sativum  
Botrytis Blight,Botrytis cinerea,Pisum,sativum  
Bright Line Brown Eye,Lacanobia oleracea,Pisum,sativum  
Cabbage Moth,Mamestra brassicae,Pisum,sativum  
Calcium Deficiency,Calcium Deficiency,Pisum,sativum  
Common Red Spider Mite,Tetranychus urticae,Pisum,sativum  
Downy Mildew,Peronosporales,Pisum,sativum  
Flea Beetle,Psylliodes,Pisum,sativum  
Fusarium Wilt,Fusarium oxysporum,Pisum,sativum  
Green Leafhopper,Empoasca decipiens,Pisum,sativum  
Iron Deficiency,Iron Deficiency,Pisum,sativum  
Leaf Miner Flies,Agromyzidae spp.,Pisum,sativum  
Lentil Rust,Uromyces viciae-fabae,Pisum,sativum  
Magnesium Deficiency,Magnesium Deficiency,Pisum,sativum  
Manganese Deficiency,Manganese Deficiency,Pisum,sativum  
Mealybug,Pseudococcidae,Pisum,sativum  
Nematode,Nematoda,Pisum,sativum  
Nitrogen Deficiency,Nitrogen Deficiency,Pisum,sativum  
Onion Maggots,Delia platura,Pisum,sativum  
Pea Rust,Uromyces pisi-sativi,Pisum,sativum  
Pesticide Burn,Pesticide Burn,Pisum,sativum  
Phosphorus Deficiency,Phosphorus Deficiency,Pisum,sativum  
Potassium Deficiency,Potassium Deficiency,Pisum,sativum  
Powdery Mildew,Erysiphaceae,Pisum,sativum  
Root-Knot Nematode,Meloidogyne spp.,Pisum,sativum  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Pisum,sativum  
Sclerotium Rot,Athelia rolfsii,Pisum,sativum  
Slug,Class Gastropoda,Pisum,sativum  
Thrips,Order Thysanoptera,Pisum,sativum  
Velvetbean Caterpillar,Anticarsia gemmatalis,Pisum,sativum  
Verticillium Wilt,Verticillium spp.,Pisum,sativum  
Vole,Cricetidae,Pisum,sativum  
Water Deficiency,Water Deficiency,Pisum,sativum  
Zinc Deficiency,Zinc Deficiency,Pisum,sativum  
Almond Bark Beetle,Scolytus amygdali,Prunus,dulcis  
Almond Red Leaf Blotch,Polystigma ochraceum,Prunus,dulcis  
Anthracnose of Almond,Colletotrichum acutatum,Prunus,dulcis  
Anthracnose of Almond,Colletotrichum acutatum,Prunus,armeniaca  
Aphid,Aphidoidea family,Prunus,dulcis  
Aphid,Aphidoidea family,Prunus,armeniaca  
Aphid,Aphidoidea family,Prunus,spp.  
Aphid,Aphidoidea family,Prunus,persica  
Aphid,Aphidoidea family,Prunus,domestica  
Apple Leaf Miner,Lyonetia clerkella,Prunus,armeniaca  
Apple Leaf Miner,Lyonetia clerkella,Prunus,spp.  
Apple Leaf Miner,Lyonetia clerkella,Prunus,persica  
Apple Leaf Miner,Lyonetia clerkella,Prunus,domestica  
Armillaria Root Rot,Armillaria mellea,Prunus,armeniaca  
Bacterial Canker,Pseudomonas syringae pv. syringae,Prunus,armeniaca  
Bacterial Canker,Pseudomonas syringae pv. syringae,Prunus,spp.  
Bacterial Canker,Pseudomonas syringae pv. syringae,Prunus,persica  
Bacterial Canker,Pseudomonas syringae pv. syringae,Prunus,domestica  
Bacterial Spot on Stone Fruits,Xanthomonas arboricola,Prunus,dulcis  
Bacterial Spot on Stone Fruits,Xanthomonas arboricola,Prunus,armeniaca  
Bacterial Spot on Stone Fruits,Xanthomonas arboricola,Prunus,spp.  
Bacterial Spot on Stone Fruits,Xanthomonas arboricola,Prunus,persica  
Bacterial Spot on Stone Fruits,Xanthomonas arboricola,Prunus,domestica  
Bitter Rot on Apple,Glomerella cingulata,Prunus,spp.  
Black Cherry Aphid,Myzus cerasi,Prunus,spp.  
Black Scale,Saissetia oleae,Prunus,armeniaca  
Black Scale,Saissetia oleae,Prunus,domestica  
Blossom Blight,Monilinia fructicola,Prunus,dulcis  
Blossom Blight,Monilinia fructicola,Prunus,armeniaca  
Blossom Blight,Monilinia fructicola,Prunus,spp.  
Blossom Blight,Monilinia fructicola,Prunus,persica  
Blossom Blight,Monilinia fructicola,Prunus,domestica  
Boron Deficiency,Boron Deficiency,Prunus,dulcis  
Boron Deficiency,Boron Deficiency,Prunus,armeniaca  
Boron Deficiency,Boron Deficiency,Prunus,spp.  
Boron Deficiency,Boron Deficiency,Prunus,persica  
Boron Deficiency,Boron Deficiency,Prunus,domestica  
Botryosphaeria Dieback,Botryosphaeriaceae,Prunus,dulcis  
Botryosphaeria Dieback,Botryosphaeriaceae,Prunus,persica  
Botrytis Blight,Botrytis cinerea,Prunus,dulcis  
Botrytis Blight,Botrytis cinerea,Prunus,spp.  
Botrytis Blight,Botrytis cinerea,Prunus,domestica  
Brown Mite,Bryobia rubrioculus,Prunus,dulcis  
Brown Rot,Monilinia laxa,Prunus,dulcis  
Brown Rot,Monilinia laxa,Prunus,armeniaca  
Brown Rot,Monilinia laxa,Prunus,spp.  
Brown Rot,Monilinia laxa,Prunus,persica  
Brown Rot,Monilinia laxa,Prunus,domestica  
Brown Rot of Fruits,Monilinia fructigena,Prunus,dulcis  
Brown Rot of Fruits,Monilinia fructigena,Prunus,armeniaca  
Brown Rot of Fruits,Monilinia fructigena,Prunus,spp.  
Brown Rot of Fruits,Monilinia fructigena,Prunus,persica  
Brown Rot of Fruits,Monilinia fructigena,Prunus,domestica  
Cherry Fruit Fly,Rhagoletis cerasi,Prunus,spp.  
Cherry Leaf Scorch,Apiognomonia erythrostoma,Prunus,armeniaca  
Cherry Leaf Scorch,Apiognomonia erythrostoma,Prunus,spp.  
Cherry Leaf Scorch,Apiognomonia erythrostoma,Prunus,domestica  
Cherry Leaf Spot,Blumeriella jaapii,Prunus,dulcis  
Cherry Leaf Spot,Blumeriella jaapii,Prunus,armeniaca  
Cherry Leaf Spot,Blumeriella jaapii,Prunus,spp.  
Cherry Leaf Spot,Blumeriella jaapii,Prunus,domestica  
Chlorotic Leaf Roll of Apricot,Phytoplasma prunorum,Prunus,armeniaca  
Chlorotic Leaf Roll of Apricot,Phytoplasma prunorum,Prunus,persica  
Common Red Spider Mite,Tetranychus urticae,Prunus,dulcis  
Constriction Canker,Phomopsis amygdali,Prunus,persica  
Constriction Canker of Peach,Phomopsis amygdali,Prunus,dulcis  
Constriction Canker of Peach,Phomopsis amygdali,Prunus,persica  
Crown Gall,Agrobacterium,Prunus,dulcis  
Crown Gall,Agrobacterium,Prunus,persica  
Dead Arm,Eutypa lata,Prunus,dulcis  
Dead Arm,Eutypa lata,Prunus,armeniaca  
Dead Arm,Eutypa lata,Prunus,spp.  
Dead Arm,Eutypa lata,Prunus,persica  
Dead Arm,Eutypa lata,Prunus,domestica  
Dieback of Stone Fruit,Valsa cincta,Prunus,armeniaca  
Dieback of Stone Fruit,Valsa cincta,Prunus,spp.  
Dieback of Stone Fruit,Valsa cincta,Prunus,persica  
Dieback of Stone Fruit,Valsa cincta,Prunus,domestica  
Ermine Moth,Yponomeutidae,Prunus,spp.  
Ermine Moth,Yponomeutidae,Prunus,domestica  
European Earwig,Forficula auricularia,Prunus,armeniaca  
European Red Mite,Panonychus ulmi,Prunus,dulcis  
European Red Mite,Panonychus ulmi,Prunus,armeniaca  
European Red Mite,Panonychus ulmi,Prunus,spp.  
European Red Mite,Panonychus ulmi,Prunus,persica  
European Red Mite,Panonychus ulmi,Prunus,domestica  
Fruit Tree Bark Beetle,Scolytus mali,Prunus,armeniaca  
Fruit Tree Bark Beetle,Scolytus mali,Prunus,spp.  
Fruit Tree Bark Beetle,Scolytus mali,Prunus,persica  
Fruit Tree Bark Beetle,Scolytus mali,Prunus,domestica  
Fruit Tree Leafroller,Archips argyrospila,Prunus,armeniaca  
Fruit Tree Leafroller,Archips argyrospila,Prunus,persica  
Gall Mite,Eriophyidae,Prunus,armeniaca  
Gall Mite,Eriophyidae,Prunus,spp.  
Gall Mite,Eriophyidae,Prunus,persica  
Gall Mite,Eriophyidae,Prunus,domestica  
Green Citrus Aphid,Aphis spiraecola,Prunus,domestica  
Green Peach Aphid,Myzus persicae,Prunus,dulcis  
Green Peach Aphid,Myzus persicae,Prunus,armeniaca  
Green Peach Aphid,Myzus persicae,Prunus,persica  
Gummosis,Botryosphaeria dothidea,Prunus,armeniaca  
Gummosis,Botryosphaeria dothidea,Prunus,persica  
Gummosis,Botryosphaeria dothidea,Prunus,domestica  
Iron Deficiency,Iron Deficiency,Prunus,armeniaca  
Iron Deficiency,Iron Deficiency,Prunus,persica  
Jacket Rot,Monilinia spp,Prunus,armeniaca  
Jacket Rot,Monilinia spp,Prunus,persica  
Magnesium Deficiency,Magnesium Deficiency,Prunus,dulcis  
Magnesium Deficiency,Magnesium Deficiency,Prunus,armeniaca  
Magnesium Deficiency,Magnesium Deficiency,Prunus,spp.  
Magnesium Deficiency,Magnesium Deficiency,Prunus,persica  
Magnesium Deficiency,Magnesium Deficiency,Prunus,domestica  
Manganese Deficiency,Manganese Deficiency,Prunus,dulcis  
Manganese Deficiency,Manganese Deficiency,Prunus,armeniaca  
Manganese Deficiency,Manganese Deficiency,Prunus,spp.  
Manganese Deficiency,Manganese Deficiency,Prunus,persica  
Manganese Deficiency,Manganese Deficiency,Prunus,domestica  
Mealy Plum Aphid,Hyalopterus pruni,Prunus,armeniaca  
Mealy Plum Aphid,Hyalopterus pruni,Prunus,persica  
Mealy Plum Aphid,Hyalopterus pruni,Prunus,domestica  
Mediterranean Fruit Fly,Ceratitis capitata,Prunus,dulcis  
Mediterranean Fruit Fly,Ceratitis capitata,Prunus,armeniaca  
Mediterranean Fruit Fly,Ceratitis capitata,Prunus,spp.  
Mediterranean Fruit Fly,Ceratitis capitata,Prunus,persica  
Mediterranean Fruit Fly,Ceratitis capitata,Prunus,domestica  
Melon Fruit Fly,Zeugodacus cucurbitae,Prunus,persica  
Nematode,Nematoda,Prunus,armeniaca  
Nematode,Nematoda,Prunus,spp.  
Nematode,Nematoda,Prunus,persica  
Nematode,Nematoda,Prunus,domestica  
Olive Scale,Parlatoria oleae,Prunus,dulcis  
Olive Scale,Parlatoria oleae,Prunus,armeniaca  
Olive Scale,Parlatoria oleae,Prunus,persica  
Olive Scale,Parlatoria oleae,Prunus,domestica  
Oriental Fruit Fly,Bactrocera dorsalis,Prunus,persica  
Oriental Fruit Moth,Grapholita molesta,Prunus,armeniaca  
Oriental Fruit Moth,Grapholita molesta,Prunus,spp.  
Oriental Fruit Moth,Grapholita molesta,Prunus,domestica  
Peach Leaf Curl,Taphrina deformans,Prunus,dulcis  
Peach Leaf Curl,Taphrina deformans,Prunus,armeniaca  
Peach Leaf Curl,Taphrina deformans,Prunus,persica  
Peach Scab,Venturia carpophila,Prunus,armeniaca  
Peach Scab,Venturia carpophila,Prunus,persica  
Peach Twig Borer,Anarsia lineatella,Prunus,dulcis  
Peach Twig Borer,Anarsia lineatella,Prunus,armeniaca  
Peach Twig Borer,Anarsia lineatella,Prunus,spp.  
Peach Twig Borer,Anarsia lineatella,Prunus,persica  
Peach Twig Borer,Anarsia lineatella,Prunus,domestica  
Pesticide Burn,Pesticide Burn,Prunus,dulcis  
Pesticide Burn,Pesticide Burn,Prunus,armeniaca  
Pesticide Burn,Pesticide Burn,Prunus,spp.  
Pesticide Burn,Pesticide Burn,Prunus,persica  
Pesticide Burn,Pesticide Burn,Prunus,domestica  
Phony Peach Disease,Xylella fastidiosa,Prunus,armeniaca  
Phony Peach Disease,Xylella fastidiosa,Prunus,persica  
Phony Peach Disease,Xylella fastidiosa,Prunus,domestica  
Phosphorus Deficiency,Phosphorus Deficiency,Prunus,armeniaca  
Phosphorus Deficiency,Phosphorus Deficiency,Prunus,persica  
Plum Pox Virus,Plum pox virus,Prunus,dulcis  
Plum Pox Virus,Plum pox virus,Prunus,armeniaca  
Plum Pox Virus,Plum pox virus,Prunus,persica  
Plum Pox Virus,Plum pox virus,Prunus,domestica  
Plum Rust,Tranzschelia pruni spinosae,Prunus,dulcis  
Plum Rust,Tranzschelia pruni spinosae,Prunus,armeniaca  
Plum Rust,Tranzschelia pruni spinosae,Prunus,persica  
Plum Rust,Tranzschelia pruni spinosae,Prunus,domestica  
Pocket Plum Gall,Taphrina pruni,Prunus,spp.  
Pocket Plum Gall,Taphrina pruni,Prunus,persica  
Pocket Plum Gall,Taphrina pruni,Prunus,domestica  
Poplar Lace Bug,Monosteira unicostata,Prunus,dulcis  
Potassium Deficiency,Potassium Deficiency,Prunus,armeniaca  
Potassium Deficiency,Potassium Deficiency,Prunus,persica  
Powdery Mildew,Erysiphaceae,Prunus,armeniaca  
Powdery Mildew,Erysiphaceae,Prunus,spp.  
Powdery Mildew,Erysiphaceae,Prunus,persica  
Powdery Mildew,Erysiphaceae,Prunus,domestica  
Rose Mildew,Podosphaera pannosa,Prunus,armeniaca  
Rose Mildew,Podosphaera pannosa,Prunus,persica  
Shothole Disease,Wilsonomyces carpophilus,Prunus,dulcis  
Shothole Disease,Wilsonomyces carpophilus,Prunus,armeniaca  
Shothole Disease,Wilsonomyces carpophilus,Prunus,spp.  
Shothole Disease,Wilsonomyces carpophilus,Prunus,persica  
Shothole Disease,Wilsonomyces carpophilus,Prunus,domestica  
Silver Leaf,Chondrostereum purpureum,Prunus,armeniaca  
Silver Leaf,Chondrostereum purpureum,Prunus,spp.  
Silver Leaf,Chondrostereum purpureum,Prunus,persica  
Silver Leaf,Chondrostereum purpureum,Prunus,domestica  
Stecklenberger Disease,PNRSV Prunus necrotic ringspot virus,Prunus,armeniaca  
Stecklenberger Disease,PNRSV Prunus necrotic ringspot virus,Prunus,spp.  
Stecklenberger Disease,PNRSV Prunus necrotic ringspot virus,Prunus,persica  
Stecklenberger Disease,PNRSV Prunus necrotic ringspot virus,Prunus,domestica  
Thrips,Order Thysanoptera,Prunus,armeniaca  
Thrips,Order Thysanoptera,Prunus,spp.  
Thrips,Order Thysanoptera,Prunus,persica  
Valsa Disease,Valsa leucostoma,Prunus,armeniaca  
Valsa Disease,Valsa leucostoma,Prunus,spp.  
Valsa Disease,Valsa leucostoma,Prunus,persica  
Valsa Disease,Valsa leucostoma,Prunus,domestica  
Verticillium Wilt,Verticillium spp.,Prunus,armeniaca  
Vole,Cricetidae,Prunus,armeniaca  
Vole,Cricetidae,Prunus,spp.  
Vole,Cricetidae,Prunus,persica  
Vole,Cricetidae,Prunus,domestica  
Water Deficiency,Water Deficiency,Prunus,dulcis  
Water Deficiency,Water Deficiency,Prunus,armeniaca  
Water Deficiency,Water Deficiency,Prunus,spp.  
Water Deficiency,Water Deficiency,Prunus,persica  
Water Deficiency,Water Deficiency,Prunus,domestica  
Western Flower Thrips,Frankliniella occidentalis,Prunus,persica  
Western Plant Bug,Lygus hesperus,Prunus,armeniaca  
Western Plant Bug,Lygus hesperus,Prunus,persica  
Western Plant Bug,Lygus hesperus,Prunus,domestica  
Winter Moth,Operophtera brumata,Prunus,spp.  
Yellow Vine Mite,Eotetranychus carpini,Prunus,persica  
Zinc Deficiency,Zinc Deficiency,Prunus,dulcis  
Zinc Deficiency,Zinc Deficiency,Prunus,armeniaca  
Zinc Deficiency,Zinc Deficiency,Prunus,spp.  
Zinc Deficiency,Zinc Deficiency,Prunus,persica  
Zinc Deficiency,Zinc Deficiency,Prunus,domestica  
Alternaria Black Spot and Fruit Rot,Alternaria alternata,Punica,granatum  
Anthracnose of Pomegranate,Glomerella cingulata,Punica,granatum  
Aphid,Aphidoidea family,Punica,granatum  
Black Scale,Saissetia oleae,Punica,granatum  
Boron Deficiency,Boron Deficiency,Punica,granatum  
Castor Semilooper,Ophiusa melicerta,Punica,granatum  
Cercospora Fruit and Leaf Spot,Pseudocercospora punicae,Punica,granatum  
Magnesium Deficiency,Magnesium Deficiency,Punica,granatum  
Manganese Deficiency,Manganese Deficiency,Punica,granatum  
Mediterranean Fruit Fly,Ceratitis capitata,Punica,granatum  
Pesticide Burn,Pesticide Burn,Punica,granatum  
Pomegranate Thrips,Scirtothrips dorsalis,Punica,granatum  
Pomegranate Wilt,Ceratocystis fimbriata,Punica,granatum  
Zinc Deficiency,Zinc Deficiency,Punica,granatum  
Aphid,Aphidoidea family,Pyrus,communis  
Apple Leaf Miner,Lyonetia clerkella,Pyrus,communis  
Bacterial Canker,Pseudomonas syringae pv. syringae,Pyrus,communis  
Black Scale,Saissetia oleae,Pyrus,communis  
Boron Deficiency,Boron Deficiency,Pyrus,communis  
Brown Rot,Monilinia laxa,Pyrus,communis  
Brown Rot of Fruits,Monilinia fructigena,Pyrus,communis  
